Brand,Model,Year,Miles(k miles),Registration,Control,Fuel,Location,Price(£),EngineSize,Doors,Emission,ModelFull
SEAT,Leon,2016.0,76,2016 (66 reg),Auto,Petrol,Sheffield ,13359,2.0,5,Euro 6 (s/s),TSI Cupra 290 Black DSG
Hyundai,TUCSON,2017.0,52,2017 (67 reg),Auto,Diesel,Sheffield ,11995,1.7,5,,- CRDi Blue Drive SE Nav
Nissan,Qashqai,2019.0,86,2019 (19 reg),Manual,Diesel,Oldham ,6750,1.5,5,,dCi 115 Acenta Premium
Hyundai,i10,2017.0,80,2017 (67 reg),Manual,Petrol,Rotherham ,4690,1.0,5,Euro 6,SE
Peugeot,208,2023.0,6,2023 (23 reg),Manual,Petrol,Leeds ,14980,1.2,5,Euro 6 (s/s),PureTech GT
Ford,Fiesta,2019.0,53,2019 (69 reg),Manual,Petrol,Rochdale ,8399,1.0,5,Euro 6 (s/s),EcoBoost GPF Active 1 Hatchback Petrol Manual (125 ps
Land Rover,Range Rover Sport,2023.0,46,2023 (23 reg),Auto,Hybrid,Sheffield ,63995,3.0,5,Euro 6 (s/s),P440e 3kWh Dynamic SE Auto 4WD
BMW,3 Series,2016.0,139,2016 (65 reg),Auto,Diesel,Castleford ,9495,3.0,4,Euro 6 (s/s),330d M Sport Auto xDrive
Fiat,600,2025.0,10,2025 (25 reg),Auto,Petrol,Hyde ,18995,1.2,5,,Hybrid 48V eDCT-6
Hyundai,i20,2025.0,10,2025 (25 reg),Auto,Petrol,York ,21790,1.0,5,Euro 6 (s/s),- T-GDi Ultimate Hatchback Petrol DCT (100 ps)
Hyundai,i10,2025.0,10,2025 (25 reg),Manual,Petrol,Chesterfield ,16795,1.2,5,Euro 6 (s/s),Premium Hatchback Petrol Manual (79 ps)
Ford,Mustang,2019.0,6,2019 (69 reg),Auto,Petrol,Oldham ,39949,5.0,2,Euro 6,V8 GT Fastback Petrol SelShift (450 ps)
Ford,Kuga,2018.0,57,2018 (18 reg),Manual,Petrol,Dalton Magna ,7995,1.5,5,,EcoBoost Zetec 2WD
Volkswagen,T-Roc,2024.0,12,2024 (24 reg),Manual,Petrol,Oldham ,21790,1.0,5,,- TSI 115 Life **DELIVERY MILES**
Volkswagen,Arteon,2018.0,96,2018 (18 reg),Auto,Petrol,Leeds ,12995,2.0,5,Euro 6 (s/s),TSI R-Line Fastback DSG
Vauxhall,Adam,2014.0,108,2014 (64 reg),Manual,Petrol,Sheffield ,3295,1.4,3,Euro 5,16v JAM
Nissan,Juke,2023.0,16,2023 (23 reg),Auto,Hybrid,Oldham ,19199,1.6,5,Euro 6,Tekna SUV Petrol Hybrid Auto (143 ps)
Kia,Sportage,2025.0,850,2025 (25 reg),Manual,Petrol,Worksop ,27850,1.6,5,,- GDi 157 48V ISG GT-Line
Citroen,C1,2015.0,44,2015 (15 reg),Manual,Petrol,Oldham ,4595,1.0,3,Euro 5,VTi Feel ()
Citroen,Berlingo,2010.0,97,2010 (10 reg),Manual,Petrol,Wakefield ,3000,1.6,5,,i 16V VTR Wheelchair ramp 4 seats
Skoda,Kamiq,2025.0,99,2025 (25 reg),Auto,Petrol,York ,23205,1.0,5,,- TSI SE L Edition DSG Automatic
Jaguar,X-Type,2008.0,92,2008 (8 reg),Auto,Diesel,Wakefield ,2990,2.2,4,,d Sovereign 2009 Auto DPF
Nissan,Juke,2016.0,69,2016 (16 reg),Auto,Petrol,Oldham ,7495,1.6,5,Euro 6,Tekna XTRON
Nissan,X-Trail,2025.0,10,2025 (25 reg),Auto,Hybrid,Huddersfield ,33890,1.5,5,,- E-Power 204 N-Trek Xtronic
Volvo,XC90,2017.0,92,2017 (67 reg),Auto,Diesel,Bradford ,22250,2.0,5,Euro 6 (s/s),D5 PowerPulse Momentum Pro SUV Diesel Auto 4WD (235 ps
Ford,Kuga,2016.0,130,2016 (16 reg),Auto,Diesel,Bradford ,5000,2.0,5,,2016 TDCi 150 Zetec Powershift BLACK
Volvo,XC60,2018.0,80,2018 (18 reg),Auto,Petrol,Sheffield ,20480,,5,,- T5 R-DESIGN PRO AWD FULL VOLVO SERVICE HISTORY
Volkswagen,Taigo,2025.0,5,2025 (25 reg),Auto,Petrol,Leeds ,23649,1.0,5,,TSI 115 R-Line DSG Petrol Hatchback
Honda,Insight,2012.0,66,2012 (12 reg),Auto,Hybrid,Wakefield ,6000,1.3,5,,IMA HX Hybrid CVT
Kia,Sportage,2012.0,37,2012 (12 reg),Auto,Petrol,Rotherham ,7990,2.0,5,Euro 5,KX-2 Auto AWD
Citroen,C4 Picasso,2015.0,81,2015 (15 reg),Manual,Diesel,Sheffield ,4989,1.6,5,Euro 5 (s/s),e-HDi Exclusive
Volkswagen,Arteon,2018.0,91,2018 (67 reg),Auto,Petrol,Rochdale ,12979,2.0,5,Euro 6 (s/s),TSI R-Line Fastback DSG
MINI,Hatch,2015.0,112,2015 (15 reg),Manual,Petrol,Rotherham ,5990,2.0,3,Euro 6 (s/s),Cooper S
Jaguar,XE,2016.0,86,2016 (16 reg),Auto,Diesel,Oldham ,8495,,4,,R-SPORT
Audi,A3,2017.0,60,2017 (17 reg),Auto,Petrol,York ,16800,2.0,5,Euro 6 (s/s),TFSI S line Sportback Petrol S Tronic quattro (190 ps)
Vauxhall,Corsa,2025.0,99,2025 (25 reg),Manual,Petrol,Oldham ,16450,1.2,5,Euro 6,- Turbo Yes Hatchback Petrol Manual s/s 100 Ps
Volvo,XC60,2025.0,0,2025 (25 reg),Auto,Hybrid,Knaresborough ,54490,,5,,"Ultra, B5 AWD Mild hybrid, Petrol, Dark"
Dacia,Jogger,2024.0,325,2024 (74 reg),Auto,Hybrid,Bradford ,21580,1.6,5,,HEV Extreme Auto Hybrid Estate
Vauxhall,Mokka,2013.0,118,2013 (63 reg),Manual,Diesel,Sheffield ,3989,1.7,5,,CDTi SE 4WD
Kia,Sorento,2014.0,109,2014 (64 reg),Auto,Diesel,Leeds ,8990,2.2,5,,CRDi KX-4 AUTOMATIC + TOP SPEC + LEATHER + PAN ROOF + MEDIA +
Skoda,Superb,2018.0,125,2018 (18 reg),Auto,Petrol,Oldham ,8995,2.0,5,Euro 6 (s/s),TSI SportLine DSG
BMW,2 Series,2014.0,71,2014 (14 reg),Auto,Diesel,Sheffield ,9995,2.0,2,Euro 6 (s/s),218d M Sport Coupe Diesel Auto (143 ps)
Audi,Q3,2014.0,120,2014 (14 reg),Auto,Diesel,Wakefield ,6795,2.0,5,Euro 5 (s/s),TDI S line S Tronic quattro
Audi,A4,2017.0,45,2017 (17 reg),Manual,Diesel,Oldham ,13449,2.0,4,Euro 6 (s/s),TDI ultra Sport Saloon Diesel Manual (190 ps)
Hyundai,KONA,2025.0,460,2025 (74 reg),Auto,Electric,Sheffield ,30495,5.4,5,,6kWh Ultimate Auto
Audi,RS3,2011.0,80,2011 (61 reg),Auto,Petrol,Oldham ,15449,2.5,5,Euro 5,TFSI Sportback Petrol S Tronic quattro (340 ps)
Nissan,Juke,2018.0,61,2018 (68 reg),Auto,Petrol,Ashton-under-lyne ,8795,1.6,5,,[112] Tekna CVT [Bose]
Hyundai,Santa Fe,2014.0,28,2014 (64 reg),Auto,Diesel,Leeds ,13695,2.2,5,Euro 5,CRDi Premium SUV Diesel Auto 4WD (5 seat) (194 bhp)
SEAT,Arona,2022.0,17,2022 (71 reg),Manual,Petrol,York ,13350,1.0,5,Euro 6 (s/s),- TSI EVO SE Technology
Kia,EV3,2025.0,14,2025 (25 reg),Auto,Electric,Worksop ,34836,1.4,5,,- 148kW GT-Line 8kWh Auto
Audi,A4,2016.0,91,2016 (66 reg),Auto,Diesel,Ossett ,12995,3.0,4,,- TDI 272 Quattro S Line Tip Tronic
Kia,Picanto,2019.0,57,2019 (69 reg),Auto,Petrol,Ashton-under-lyne ,8395,1.2,5,,5 2 Auto
Land Rover,Range Rover Evoque,2017.0,79,2017 (17 reg),Auto,Diesel,Cleckheaton ,11495,2.0,5,Euro 6 (s/s),TD4 HSE Dynamic Lux Auto 4WD
Infiniti,Q30,2017.0,100,2017 (17 reg),Manual,Petrol,Dalton Magna ,5995,1.6,5,,Premium [IN-Touch Nav]
Hyundai,Ix20,2011.0,112,2011 (61 reg),Manual,Petrol,Sheffield ,3000,1.4,5,Euro 5 (s/s),Active Hatchback Petrol Manual (90 bhp)
Ford,Ka,2009.0,86,2009 (9 reg),Manual,Petrol,Pontefract ,2495,1.2,3,Euro 4,Zetec
Mercedes-Benz,CLA,2020.0,120,2020 (20 reg),Auto,Diesel,Rochdale ,14497,2.0,5,Euro 6 (s/s),CLA220d AMG Line Shooting Brake 8G-DCT
Volkswagen,Golf,2013.0,107,2013 (63 reg),Manual,Petrol,Castleford ,7990,2.0,3,,- TSI GTI -FULL SERVCE HISTORY-
BMW,M2,2018.0,77,2018 (67 reg),Auto,Petrol,Oldham ,20994,3.0,2,Euro 6 (s/s),i DCT
Audi,Q8,2023.0,25,2023 (72 reg),Auto,Petrol,Sheffield ,49980,3.0,5,Euro 6 (s/s),- TFSI V6 55 Black Edition SUV Petrol Tiptronic quattro
Hyundai,i10,2017.0,90,2017 (17 reg),Manual,Petrol,Ashton-Under-Lyne ,3995,1.0,5,Euro 6,SE
Peugeot,Partner Tepee,2016.0,88,2016 (66 reg),Auto,Diesel,Wakefield ,6495,1.6,5,Euro 6 (s/s),BlueHDi Active ETG
Audi,A4 Avant,2022.0,47,2022 (22 reg),Auto,Petrol,York ,21989,2.0,5,Euro 6 (s/s),TFSI 40 Sport Edition S Tronic
Volkswagen,Golf,2020.0,63,2020 (70 reg),Auto,Petrol,Huddersfield ,20995,2.0,5,Euro 6 (s/s),TSI R Hatchback Petrol DSG 4Motion (300 ps)
Vauxhall,Corsa,2023.0,14,2023 (23 reg),Manual,Petrol,Swinton ,13495,1.2,5,,- Turbo GS
Renault,Megane,2018.0,35,2018 (68 reg),Manual,Petrol,York ,10495,1.3,5,Euro 6 (s/s),- TCe GT Line
Mercedes-Benz,CLA,2018.0,53,2018 (68 reg),Auto,Diesel,Leeds ,15985,,5,,"- CLA 220 D AMG LINE [6X SERVICES, SAT NAV & PANORAMIC ROOF]"
Nissan,Juke,2024.0,690,2024 (24 reg),Manual,Petrol,Leeds ,16697,1.0,5,,- Dig-T N-Connecta
Volkswagen,T-Cross,2021.0,31,2021 (21 reg),Manual,Petrol,Bradford ,13750,1.0,5,,TSI SE
Mercedes-Benz,A-Class,2022.0,26,2022 (22 reg),Auto,Hybrid,Durkar ,19995,1.3,5,,- A250e 1kWh AMG Line Edition Hatchback Petrol Plug-in Hybrid 8G-D
Audi,A6 Saloon,2014.0,100,2014 (14 reg),Auto,Diesel,Oldham ,9449,2.0,4,Euro 6 (s/s),TDI ultra Black Edition Saloon Diesel S Tronic (190 ps
Land Rover,Range Rover Sport,2016.0,99,2016 (66 reg),Auto,Diesel,Stalybridge ,16650,3.0,5,Euro 6 (s/s),SD V6 HSE Dynamic Auto 4WD
Mercedes-Benz,C-Class,2016.0,137,2016 (16 reg),Auto,Diesel,Goole ,9295,2.1,5,,- C250d AMG Line
Mercedes-Benz,A-Class,2016.0,98,2016 (66 reg),Manual,Diesel,Leeds ,8499,1.5,5,Euro 6 (s/s),- A180d AMG Line (Executive)
Vauxhall,Antara,2013.0,70,2013 (62 reg),Auto,Diesel,Oldham ,3695,2.2,5,Euro 5,CDTi Exclusiv Auto 4WD
Skoda,Kodiaq,2019.0,64,2019 (68 reg),Auto,Diesel,Keighley ,20989,2.0,5,Euro 6 (s/s),BiTDI vRS DSG 4WD (7 Seat)
Vauxhall,Insignia,2017.0,81,2017 (67 reg),Auto,Diesel,Oldham ,9495,2.0,5,Euro 6 (s/s),Turbo D BlueInjection SRi VX Line Nav Sports Tourer Auto 5
Ford,Focus,2017.0,78,2017 (17 reg),Manual,Petrol,Sheffield ,11500,2.0,5,Euro 6 (s/s),EcoBoost ST-3
Ford,Ecosport,2017.0,51,2017 (66 reg),Manual,Petrol,Cleckheaton ,5495,1.0,5,Euro 6 (s/s),EcoBoost Zetec 2WD
Ford,Fiesta,2015.0,19,2015 (65 reg),Manual,Petrol,Ackworth ,7350,1.0,5,,EcoBoost Titanium
Fiat,500,2016.0,72,2016 (65 reg),Manual,Petrol,Rotherham ,3590,1.2,3,Euro 6 (s/s),Pop
Cupra,Leon,2021.0,80,2021 (70 reg),Auto,Hybrid,Harrogate ,15989,1.4,5,Euro 6 (s/s),eHybrid 1kWh First Edition DSG
Mercedes-Benz,C-Class,2017.0,67,2017 (17 reg),Auto,Diesel,Sheffield ,14450,2.1,5,Euro 6 (s/s),C220d AMG Line G-Tronic+
Audi,Q7,2011.0,151,2011 (11 reg),Auto,Diesel,Keighley West ,24989,6.0,5,,- TDI Quattro Tip Auto
Mercedes-Benz,C-Class,2014.0,115,2014 (14 reg),Auto,Petrol,Goole ,7500,2.0,4,,- C200 Sport
Volvo,V90,2025.0,10,2025 (25 reg),Auto,Hybrid,Bradford ,45000,,5,,"T6 AWD PHEV Plus Dark (Pilot Assist, Harman Kardon, 360 Camera)"
Volvo,V90,2017.0,103,2017 (17 reg),Auto,Diesel,Bradford ,15490,2.0,5,Euro 6 (s/s),D5 PowerPulse Inscription Pro Estate Diesel Auto AWD (
Aston Martin,DB9,2005.0,77,2005 (5 reg),Auto,Petrol,Rotherham ,21500,5.9,2,,Seq
Land Rover,Range Rover Sport,2016.0,60,2016 (16 reg),Auto,Diesel,Wakefield ,18995,3.0,5,Euro 6 (s/s),SD V6 HSE SUV Diesel Auto 4WD (306 ps)
Mercedes-Benz,GLB,2024.0,799,2024 (74 reg),Auto,Diesel,Leeds ,35745,2.0,5,,- 200d AMG Line Executive 8G-Tronic
Ford,Fiesta,2012.0,67,2012 (12 reg),Manual,Petrol,Ashton-Under-Lyne ,3995,1.6,3,,Zetec S
Audi,A5,2010.0,81,2010 (59 reg),Manual,Diesel,Bradford ,4795,2.0,2,,TDI S Line [Start Stop]
smart,fortwo,2014.0,43,2014 (14 reg),Auto,Petrol,Chesterfield ,5990,1.0,2,Euro 5 (s/s),MHD Grandstyle Coupe Petrol SoftTouch (71 bhp)
Toyota,C-HR,2018.0,79,2018 (68 reg),Auto,Hybrid,Huddersfield ,12995,1.8,5,Euro 6 (s/s),VVT-h Design CVT
Volvo,EX30,2025.0,5,2025 (25 reg),Auto,Electric,Knaresborough ,34995,,5,,200kW SM Extended Range Ultra 69kWh Auto
Hyundai,TUCSON,2025.0,10,2025 (25 reg),Manual,Petrol,Sheffield ,26495,1.6,5,Euro 6 (s/s),T-GDi Advance SUV Petrol Manual (160 ps)
Citroen,C3,2018.0,74,2018 (18 reg),Manual,Petrol,Huddersfield ,5995,1.2,5,Euro 6,PureTech Flair
Volkswagen,Passat,2014.0,99,2014 (14 reg),Manual,Diesel,Rotherham ,5490,2.0,4,Euro 5 (s/s),TDI BlueMotion Tech R-Line
Jaguar,XF,2017.0,74,2017 (66 reg),Manual,Diesel,Leeds ,7930,2.0,4,Euro 6 (s/s),d R-Sport
Audi,A4 Avant,2015.0,70,2015 (65 reg),Auto,Diesel,Sheffield ,11950,2.0,5,Euro 6 (s/s),TDI S line Multitronic (Nav)
Fiat,600,2025.0,10,2025 (25 reg),Auto,Hybrid,Hyde ,18995,1.2,5,Euro 6 (s/s),MHEV SUV Petrol Hybrid e-DCT (100 ps)
Vauxhall,Insignia,2010.0,61,2010 (10 reg),Auto,Diesel,Castleford ,2290,2.0,5,,- CDTi SRi Nav [160] Auto -AUGUST 2026 MOT-
Volkswagen,Touareg,2020.0,30,2020 (70 reg),Auto,Petrol,Oldham ,37449,3.0,5,Euro 6 (s/s),TSI V6 Black Edition SUV Petrol Tiptronic 4Motion (340
Suzuki,Jimny,2007.0,102,2007 (7 reg),Manual,Petrol,Bradford ,4995,1.3,3,,- JLX+
Vauxhall,Corsa,2019.0,47,2019 (19 reg),Auto,Petrol,Sheffield ,9500,1.4,5,Euro 6,i ecoTEC SE Nav Auto
Audi,A3,2016.0,194,2016 (66 reg),Manual,Diesel,Rotherham ,6750,2.0,5,,TDI S Line
Hyundai,i10,2015.0,56,2015 (15 reg),Manual,Petrol,Rotherham ,4590,1.0,5,Euro 5,SE
Ford,Focus,2013.0,79,2013 (13 reg),Manual,Petrol,Doncaster ,7895,2.0,5,,ST-3
Volkswagen,Tiguan,2024.0,15,2024 (24 reg),Auto,Petrol,Sheffield ,29387,1.5,5,Euro 6 (s/s),TSI R-Line Edition DSG
Mitsubishi,Outlander,2019.0,30,2019 (69 reg),Auto,Petrol,Keighley ,14989,2.0,5,Euro 6 (s/s),MIVEC Exceed CVT 4WD
Peugeot,308,2017.0,113,2017 (17 reg),Manual,Diesel,Bradford ,2995,1.6,5,,BlueHDi 120 Allure
Volvo,V60,2021.0,48,2021 (21 reg),Auto,Hybrid,Sheffield ,24980,,5,,- RECHARGE T6 R-DESIGN AWD SLIDING PANORAMIC ROOF
Volkswagen,Tiguan,2015.0,106,2015 (15 reg),Manual,Diesel,Leeds ,7695,2.0,5,Euro 5 (s/s),TDI BlueMotion Tech R-Line 4WD (Nav)
Ford,Focus,2014.0,170,2014 (64 reg),Manual,Diesel,Rotherham ,2250,1.6,5,,TDCi 115 Zetec Navigator
Mercedes-Benz,A-Class,2019.0,102,2019 (68 reg),Auto,Petrol,Keighley ,10989,1.3,5,Euro 6 (s/s),A200 AMG Line (Premium) 7G-DCT
Ford,Focus,2015.0,61,2015 (15 reg),Manual,Petrol,Cleckheaton ,5250,1.0,5,Euro 6 (s/s),EcoBoost Titanium
Audi,A3,2025.0,800,2025 (25 reg),Auto,Petrol,Huddersfield ,29995,1.5,5,Euro 6 (s/s),TFSI 35 S line Sportback Petrol S Tronic (150 ps)
Vauxhall,Corsa,2015.0,36,2015 (65 reg),Manual,Petrol,Worksop ,6795,1.2,5,Euro 6,- i SE Hatchback Petrol Manual (70 ps)
Ford,Fiesta,2015.0,71,2015 (15 reg),Manual,Petrol,Doncaster ,4495,1.3,3,,- Zetec
Audi,Q3,2019.0,60,2019 (19 reg),Auto,Diesel,Castleford ,18990,,5,,- 35 TDI S Line S Tronic -1 FORMER KEEPER-
Jaguar,XKR,2012.0,85,2012 (12 reg),Auto,Petrol,Oldham ,19949,5.0,2,Euro 5,V8 Coupe Petrol Auto (510 ps)
Audi,A1,2013.0,80,2013 (63 reg),Manual,Petrol,Oldham ,5795,1.4,3,Euro 5 (s/s),TFSI S line
Nissan,Qashqai,2025.0,10,2025 (25 reg),Manual,Petrol,Halifax ,22509,1.3,5,,DiG-T MH Acenta Premium Petrol Hatchback
Audi,RS3,2022.0,30,2022 (22 reg),Auto,Petrol,Oldham ,43949,2.5,5,Euro 6 (s/s),TFSI Sportback Petrol S Tronic quattro (400 ps)
Ford,Puma,2025.0,12,2025 (25 reg),Manual,Hybrid,Goole ,24773,1.0,5,,Puma ST-Line X L EcoBoost 125PS mHEV 6 Speed Manual
Volkswagen,Golf,2012.0,34,2012 (62 reg),Manual,Petrol,Castleford ,12990,2.0,3,,- TSI GTI Edition 35
Peugeot,308,2018.0,48,2018 (18 reg),Manual,Diesel,Castleford ,7490,1.6,5,,- BlueHDi 120 Allure - FPSH -
Mercedes-Benz,A-Class,2014.0,102,2014 (64 reg),Manual,Diesel,Rotherham ,4990,1.5,5,Euro 5 (s/s),A180 CDI Sport
SEAT,Leon,2020.0,24,2020 (70 reg),Auto,Petrol,Leeds ,16495,1.5,5,Euro 6 (s/s),eTSI MHEV FR Estate Petrol Hybrid DSG (150 ps)
Nissan,Juke,2023.0,12,2023 (23 reg),Auto,Hybrid,Durkar ,17990,1.6,5,Euro 6,- N-Connecta Auto
Honda,Civic,2015.0,97,2015 (65 reg),Manual,Diesel,Bradford ,5995,1.6,5,Euro 5 (s/s),- i-DTEC SE Plus (Navi)
Renault,Captur,2022.0,21,2022 (22 reg),Manual,Petrol,Wakefield ,13495,1.0,5,,- TCE 90 Limited
MG,MG HS,2025.0,4,2025 (25 reg),Manual,Petrol,York ,21998,1.5,5,,- T-GDI SE
Mercedes-Benz,E-Class,2017.0,61,2017 (17 reg),Auto,Diesel,Bradford ,16995,2.0,2,Euro 6 (s/s),E220d AMG Line Coupe Diesel G-Tronic+ (194 ps)
Audi,RS3,2022.0,20,2022 (22 reg),Auto,Petrol,Oldham ,46749,2.5,5,Euro 6 (s/s),TFSI Carbon Black Sportback Petrol S Tronic quattro (4
Peugeot,308 SW,2018.0,67,2018 (68 reg),Manual,Diesel,Leeds ,7985,1.5,5,Euro 6 (s/s),BlueHDi GT Line
Fiat,500,2019.0,50,2019 (69 reg),Manual,Petrol,Doncaster ,7395,1.2,3,Euro 6 (s/s),- Lounge
Vauxhall,Astra,2015.0,146,2015 (15 reg),Manual,Diesel,Ossett ,1995,2.0,5,,- CDTi 16V ecoFLEX SRi [165]
Kia,Sportage,2016.0,66,2016 (66 reg),Manual,Diesel,Leeds ,8470,1.7,5,Euro 6 (s/s),CRDi 2
Renault,Kadjar,2019.0,46,2019 (19 reg),Manual,Diesel,Sheffield ,11000,1.5,5,Euro 6 (s/s),Blue dCi S Edition SUV Diesel Manual (115 ps)
Honda,Civic,2019.0,60,2019 (19 reg),Auto,Diesel,Keighley ,10989,1.6,5,Euro 6 (s/s),i-DTEC EX Auto
Mercedes-Benz,A-Class,2017.0,66,2017 (17 reg),Manual,Petrol,Castleford ,9690,,5,,- A160 Sport -1 OWNER-
Land Rover,Discovery,2011.0,145,2011 (11 reg),Auto,Diesel,Ossett ,5995,3.0,5,,4 SDV6 Landmark LE Auto 7 SEATER TOP SPEC
Mercedes-Benz,CLA,2018.0,50,2018 (18 reg),Auto,Diesel,Halifax ,16990,2.1,4,Euro 6 (s/s),CLA220d AMG Line Night Edition (Plus) Coupe 7G-DCT
BMW,5 Series,2017.0,158,2017 (67 reg),Auto,Diesel,Ossett ,10995,5.2,5,,- 520d M Sport Auto
Audi,RS6 Avant,2021.0,44,2021 (21 reg),Auto,Petrol,Sheffield ,73950,4.0,5,Euro 6 (s/s),TFSI V8 Vorsprung Tiptronic quattro
Land Rover,Range Rover Sport,2015.0,120,2015 (15 reg),Auto,Diesel,Oldham ,13999,,5,,SDV6 AUTOBIOGRAPHY DYNAMIC
Kia,Sportage,2012.0,85,2012 (62 reg),Manual,Diesel,Sheffield ,4189,1.7,5,Euro 5 (s/s),CRDi EcoDynamics 2 2WD
Fiat,600,2025.0,10,2025 (25 reg),Auto,Hybrid,Cleckheaton ,18995,1.2,5,Euro 6 (s/s),MHEV SUV Petrol Hybrid e-DCT (100 ps)
Citroen,C4,2021.0,19,2021 (71 reg),Auto,Petrol,Yeadon ,15495,1.2,5,Euro 6 (s/s),PureTech Shine Plus EAT8
Volkswagen,Tiguan,2017.0,107,2017 (67 reg),Manual,Diesel,"Wetherby, Thorp Arch Estate ",10852,2.0,5,Euro 6 (s/s),TDI SE Navigation 4Motion
Audi,e-tron,2022.0,14,2022 (22 reg),Auto,Electric,Oldham ,24499,,5,,55 S line Sportback Electric Auto quattro 95kWh (11kW Charger) (408 ps)
Citroen,C4 Cactus,2016.0,107,2016 (16 reg),Manual,Diesel,Doncaster ,4295,1.6,5,,- BlueHDi Flair
Jaguar,XJ,2014.0,75,2014 (64 reg),Auto,Diesel,Mexborough ,11995,3.0,4,Euro 5 (s/s),d V6 Portfolio Auto
Fiat,500C,2020.0,20,2020 (20 reg),Manual,Petrol,Bradford ,10695,1.2,2,Euro 6 (s/s),- Rock Star
BMW,X3,2014.0,78,2014 (14 reg),Manual,Diesel,Sheffield ,9490,2.0,5,Euro 6 (s/s),20d SE xDrive
Audi,A4 Avant,2021.0,101,2021 (21 reg),Auto,Diesel,Keighley ,13989,2.0,5,Euro 6 (s/s),TDI 30 Sport Edition S Tronic
Jaguar,I-Pace,2020.0,51,2020 (70 reg),Auto,Electric,Halifax ,17950,,5,,400 90kWh HSE Auto 4WD
Peugeot,3008,2014.0,115,2014 (14 reg),Auto,Diesel,Bradford ,3995,1.6,5,,e-HDi Allure EGC
Land Rover,Range Rover Evoque,2013.0,89,2013 (13 reg),Auto,Diesel,Bradford ,8695,2.2,5,Euro 5,SD4 Pure SUV Diesel Auto 4WD (190 ps)
Volkswagen,Scirocco,2014.0,91,2014 (14 reg),Manual,Petrol,Barnsley ,5695,1.4,3,,TSI 122 [Nav]
SEAT,Leon,2021.0,95,2021 (21 reg),Auto,Petrol,Castleford ,11990,,5,,- ETSI FR DSG MHEV
Ford,Mondeo,2012.0,116,2012 (62 reg),Manual,Diesel,Shipley ,2995,2.0,5,Euro 5,TDCi Zetec Business Edition
Ford,Focus,2018.0,74,2018 (67 reg),Manual,Petrol,Dewsbury ,13995,2.0,5,,EcoBoost ST-3 Navigation
Vauxhall,Mokka,2016.0,71,2016 (65 reg),Manual,Diesel,Ashton-under-Lyne ,6295,1.6,5,,- CDTi Exclusiv
BMW,1 Series,2017.0,63,2017 (67 reg),Auto,Diesel,Leeds ,12000,2.0,5,Euro 6 (s/s),- M Sport Auto
Ford,Focus,2014.0,62,2014 (64 reg),Manual,Petrol,Cleckheaton ,3495,1.0,5,Euro 5 (s/s),EcoBoost Zetec
MINI,Hatch,2017.0,47,2017 (17 reg),Manual,Petrol,Sheffield ,10490,2.0,3,,Cooper S - Media XL & Sat Nav & Chili Pack
BMW,1 Series,2014.0,122,2014 (14 reg),Auto,Diesel,Bradford ,6495,2.0,3,Euro 5 (s/s),125d M Sport Hatchback Diesel Auto (218 ps)
Honda,CR-V,2017.0,87,2017 (17 reg),Manual,Diesel,High Peak ,11495,1.6,5,,i-DTEC 160 EX
Nissan,Navara,2012.0,107,2012 (12 reg),Auto,Diesel,Dewsbury ,6995,2.5,,,Double Cab Pick Up Tekna dCi 190 4WD Auto
Vauxhall,Corsa,2022.0,13,2022 (72 reg),Manual,Petrol,Oldham ,11999,1.2,5,Euro 6,GS Line Hatchback Petrol Manual (75 ps)
Land Rover,Discovery,2012.0,84,2012 (12 reg),Auto,Diesel,KEIGHLEY ,12995,3.0,5,,SDV6 255 HSE Auto
Volkswagen,Polo,2007.0,132,2007 (7 reg),Auto,Petrol,Wakefield ,2295,1.4,5,,S
Ford,Fiesta,2016.0,78,2016 (16 reg),Manual,Petrol,Halifax ,4495,1.0,5,Euro 6 (s/s),EcoBoost Titanium
Volkswagen,Polo,2013.0,103,2013 (13 reg),Manual,Diesel,keighley ,3695,1.2,5,Euro 5,TDI Match
Mercedes-Benz,E-Class,2015.0,144,2015 (15 reg),Auto,Diesel,Keighley West ,5489,,2,,E250 CDI AMG Line 7G-Tronic
Volkswagen,T-Cross,2021.0,16,2021 (71 reg),Manual,Petrol,York ,15495,1.0,5,Euro 6 (s/s),- TSI SE
Vauxhall,Astra,2013.0,123,2013 (63 reg),Manual,Diesel,Northowram ,1495,2.0,5,,CDTi 16V ecoFLEX SRi
Ford,Focus,2014.0,70,2014 (64 reg),Manual,Petrol,Chesterfield ,5195,1.0,5,,EcoBoost Zetec
Nissan,Juke,2018.0,31,2018 (68 reg),Auto,Petrol,Oldham ,10595,1.6,5,Euro 6,Tekna XTRON
BMW,8 Series,2020.0,51,2020 (70 reg),Auto,Petrol,Leeds ,31899,,4,,- 840i sDrive Auto
BMW,3 Series,2016.0,62,2016 (66 reg),Auto,Diesel,Rochdale ,15979,3.0,4,Euro 6 (s/s),335d M Sport Auto xDrive
Fiat,500,2014.0,70,2014 (14 reg),Manual,Petrol,Sheffield ,3195,1.2,3,Euro 6 (s/s),Pop
Kia,XCeed,2024.0,5,2024 (74 reg),Auto,Petrol,Sheffield ,21523,1.5,5,Euro 6 (s/s),T-GDi 3 DCT
Peugeot,208,2013.0,56,2013 (13 reg),Manual,Petrol,Leeds ,3695,1.2,3,Euro 5,VTi Active Hatchback Petrol Manual (82 ps)
